,m_paid,m_free,m_total,m_foreigner,zb_paid,zb_adult,zb_teen,zb_child,zb_foreigner,zb_group,zb_free,zb_total,tp_paid,tp_adult,tp_teen,tp_child,tp_foreigner,tp_group,tp_free,tp_total,date_fri,date_thur,date_wed,date_mon,date_sun,date_sat,date_tue,fall,spring,summer,winter,break_summer,break_winter,break_summer.1,break_winter.1,when,temp,rain,wind,humid,cloud,강수 계속시간(hr),10분 최다 강수량(mm),1시간 최다강수량(mm),일강수량(mm),cloud_w,temp_w,humid_w,wind_w
33,415,634,1049,10,409,335,27,47,10,0,621,1030,6,5,0,1,0,0,13,19,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,2018-02-03,-7.3,0.5,3.8,47.0,1.3,3.83,0.0,0.0,0.5,1,1,3,2
34,281,509,790,1,281,238,15,28,1,1,509,790,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,2018-02-04,-9.5,0.0,3.1,40.9,0.0,0.0,0.0,0.0,0.0,1,1,2,2
35,66,282,348,14,63,57,4,2,14,0,277,340,3,2,1,0,0,0,5,8,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,2018-02-05,-9.4,0.0,3.0,37.8,0.1,0.0,0.0,0.0,0.0,1,1,2,2
36,60,309,369,13,60,55,2,3,13,0,299,359,0,0,0,0,0,0,10,10,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,2018-02-06,-10.1,0.0,3.1,36.5,1.1,0.0,0.0,0.0,0.0,1,1,2,2
37,78,340,418,4,78,58,14,6,4,0,335,413,0,0,0,0,0,0,5,5,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,2018-02-07,-8.0,0.0,1.5,39.8,1.0,0.0,0.0,0.0,0.0,1,1,2,1
38,177,547,724,2,175,129,25,21,2,1,542,717,2,2,0,0,0,0,5,7,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,2018-02-08,-4.4,0.0,1.2,43.3,0.3,0.0,0.0,0.0,0.0,1,1,3,1
39,172,485,657,3,171,140,18,13,3,0,481,652,1,1,0,0,0,0,4,5,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,2018-02-09,0.4,0.0,1.1,43.9,9.1,0.0,0.0,0.0,0.0,4,1,3,1
40,907,954,1861,17,898,748,40,110,17,0,950,1848,9,8,0,1,0,0,4,13,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,2018-02-10,-0.5,0.0,3.0,47.4,6.5,0.0,0.0,0.0,0.0,3,1,3,2
41,544,615,1159,6,540,443,29,68,6,4,605,1145,4,3,0,1,0,0,10,14,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,2018-02-11,-6.1,0.0,2.7,42.5,3.5,1.0,0.0,0.0,0.0,2,1,3,1
42,120,379,499,18,120,84,20,16,18,0,368,488,0,0,0,0,0,0,11,11,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,2018-02-12,-5.8,0.0,2.7,40.8,4.1,2.17,0.0,0.0,0.0,2,1,2,1
