,m_paid,m_free,m_total,m_foreigner,zb_paid,zb_adult,zb_teen,zb_child,zb_foreigner,zb_group,zb_free,zb_total,tp_paid,tp_adult,tp_teen,tp_child,tp_foreigner,tp_group,tp_free,tp_total,date_fri,date_thur,date_wed,date_mon,date_sun,date_sat,date_tue,fall,spring,summer,winter,break_summer,when,temp,rain,wind,humid,cloud,강수 계속시간(hr),10분 최다 강수량(mm),1시간 최다강수량(mm),일강수량(mm),cloud_w,temp_w,humid_w,wind_w
33,20115,6481,26596,410,19269,16408,475,2386,385,230,6197,25466,846,750,13,83,25,0,284,1130,0,0,0,0,1,0,0,0,1,0,0,0,2017-04-30,19.3,0.0,2.6,57.9,0.0,0.0,0.0,0.0,0.0,1,5,4,1
34,18113,5023,23136,359,16920,13648,1955,1317,353,1792,4606,21526,1193,918,222,53,6,220,417,1610,0,0,0,1,0,0,0,0,1,0,0,0,2017-05-01,20.1,0.0,1.9,50.8,0.0,0.0,0.0,0.0,0.0,1,5,3,1
35,11328,2610,13938,49,10864,3940,2400,4524,34,6394,2142,13006,464,293,147,24,15,256,468,932,0,0,0,0,0,0,1,0,1,0,0,0,2017-05-02,20.7,0.0,2.1,42.0,3.1,0.0,0.0,0.0,0.0,2,5,3,1
36,24428,6570,30998,153,22700,18388,1031,3281,144,320,5931,28631,1728,1499,55,174,9,34,639,2367,0,0,1,0,0,0,0,0,1,0,0,0,2017-05-03,21.5,0.0,2.0,34.1,0.0,0.0,0.0,0.0,0.0,1,5,2,1
37,15879,9406,25285,143,15148,11625,844,2679,133,54,9158,24306,731,608,26,97,10,0,248,979,0,1,0,0,0,0,0,0,1,0,0,0,2017-05-04,21.0,0.0,2.0,43.6,7.4,0.0,0.0,0.0,0.0,3,5,3,1
38,27046,19218,46264,616,25897,24698,1199,0,574,170,18362,44259,1149,1126,23,0,42,0,856,2005,1,0,0,0,0,0,0,0,1,0,0,0,2017-05-05,20.9,0.0,3.2,53.4,5.1,0.0,0.0,0.0,0.0,2,5,4,2
39,7559,2356,9915,434,7267,5934,398,935,410,102,2231,9498,292,249,13,30,24,0,125,417,0,0,0,0,0,1,0,0,1,0,0,0,2017-05-06,14.9,0.0,3.8,32.0,0.9,0.0,0.0,0.0,0.0,1,4,2,2
40,5724,1906,7630,269,5542,4669,308,565,266,41,1797,7339,182,149,10,23,3,0,109,291,0,0,0,0,1,0,0,0,1,0,0,0,2017-05-07,16.6,0.0,3.2,42.6,0.5,0.0,0.0,0.0,0.0,1,5,3,2
41,2790,1086,3876,58,2719,1332,1305,82,58,1319,891,3610,71,64,3,4,0,60,195,266,0,0,0,1,0,0,0,0,1,0,0,0,2017-05-08,17.9,0.0,2.1,43.6,7.3,0.0,0.0,0.0,0.0,3,5,3,1
42,2687,1310,3997,56,2495,2046,214,235,50,0,1110,3605,192,170,9,13,6,0,200,392,0,0,0,0,0,0,1,0,1,0,0,0,2017-05-09,17.1,2.5,1.6,62.6,9.4,7.67,0.5,1.5,2.5,4,5,5,1
43,2247,2338,4585,22,2089,1408,608,73,20,1130,1614,3703,158,148,4,6,2,390,724,882,0,0,1,0,0,0,0,0,1,0,0,0,2017-05-10,16.4,2.5,2.5,73.0,6.9,6.0,0.5,1.0,2.5,3,5,5,1
44,2853,2961,5814,42,2519,1285,828,406,42,1622,1567,4086,334,327,1,6,0,973,1394,1728,0,1,0,0,0,0,0,0,1,0,0,0,2017-05-11,19.3,0.0,1.8,65.3,7.6,0.75,0.0,0.0,0.0,3,5,5,1
45,16618,2223,18841,58,16130,4977,5892,5261,55,15557,1662,17792,488,73,313,102,3,719,561,1049,1,0,0,0,0,0,0,0,1,0,0,0,2017-05-12,19.1,0.0,2.1,71.6,8.0,0.0,0.0,0.0,0.0,3,5,5,1
46,5183,2725,7908,49,4670,3946,158,566,45,373,2445,7115,513,470,5,38,4,32,280,793,0,0,0,0,0,1,0,0,1,0,0,0,2017-05-13,16.4,6.0,3.1,77.8,6.8,1.75,3.5,6.0,6.0,3,5,5,2
47,25187,6194,31381,288,23113,20785,435,1893,250,6666,5346,28459,2074,1890,32,152,38,0,848,2922,0,0,0,0,1,0,0,0,1,0,0,0,2017-05-14,15.7,0.0,3.7,58.3,0.6,0.0,0.0,0.0,0.0,1,4,4,2
48,3954,2470,6424,42,3622,1832,1630,160,38,2084,1573,5195,332,303,9,20,4,353,897,1229,0,0,0,1,0,0,0,0,1,0,0,0,2017-05-15,16.0,0.0,2.8,61.4,5.5,0.42,0.0,0.0,0.0,2,5,5,1
49,2622,3612,6234,59,2255,1655,175,425,51,1090,2188,4443,367,361,1,5,8,778,1424,1791,0,0,0,0,0,0,1,0,1,0,0,0,2017-05-16,17.1,0.0,2.0,60.5,6.4,0.0,0.0,0.0,0.0,3,5,5,1
50,2719,3811,6530,47,2196,1586,82,528,45,1274,2354,4550,523,420,0,103,2,724,1457,1980,0,0,1,0,0,0,0,0,1,0,0,0,2017-05-17,18.6,0.0,2.1,51.5,0.6,0.0,0.0,0.0,0.0,1,5,3,1
51,3769,4693,8462,70,3311,1748,1051,512,56,2923,3097,6408,458,449,7,2,14,684,1596,2054,0,1,0,0,0,0,0,0,1,0,0,0,2017-05-18,20.4,0.0,2.3,41.9,1.5,0.0,0.0,0.0,0.0,1,5,3,1
52,7041,5264,12305,77,5397,2239,2517,641,63,4454,3150,8547,1644,777,710,157,14,1691,2114,3758,1,0,0,0,0,0,0,0,1,0,0,0,2017-05-19,21.1,0.0,2.6,42.6,0.0,0.0,0.0,0.0,0.0,1,5,3,1
53,17221,5751,22972,147,14321,12457,360,1504,127,867,4305,18626,2900,2598,39,263,20,41,1446,4346,0,0,0,0,0,1,0,0,1,0,0,0,2017-05-20,20.9,0.0,2.4,44.0,5.1,0.0,0.0,0.0,0.0,2,5,3,1
54,18981,5727,24708,284,14989,12991,315,1683,99,276,4235,19224,3992,3683,48,261,185,31,1492,5484,0,0,0,0,1,0,0,0,1,0,0,0,2017-05-21,21.5,0.0,2.3,48.1,2.8,0.0,0.0,0.0,0.0,1,5,3,1
55,2569,2307,4876,47,1864,1740,5,119,43,453,1428,3292,705,700,0,5,4,74,879,1584,0,0,0,1,0,0,0,0,1,0,0,0,2017-05-22,21.8,0.0,2.0,53.6,2.8,0.0,0.0,0.0,0.0,1,5,4,1
56,2241,3143,5384,44,1362,981,107,274,29,808,1710,3072,879,775,99,5,15,439,1433,2312,0,0,0,0,0,0,1,0,1,0,0,0,2017-05-23,20.0,5.0,1.9,68.0,9.1,4.33,1.5,4.0,5.0,4,5,5,1
57,3514,2824,6338,75,2168,1428,542,198,35,1064,1393,3561,1346,1192,4,150,40,458,1431,2777,0,0,1,0,0,0,0,0,1,0,0,0,2017-05-24,21.8,0.1,2.0,60.4,2.9,0.67,0.1,0.1,0.1,1,5,5,1
58,3486,4356,7842,78,2019,1551,162,306,25,714,1776,3795,1467,1450,5,12,53,886,2580,4047,0,1,0,0,0,0,0,0,1,0,0,0,2017-05-25,19.2,0.0,3.4,45.6,0.9,0.0,0.0,0.0,0.0,1,5,3,2
59,6869,5818,12687,109,4215,2351,1524,340,84,2348,2549,6764,2654,2105,376,173,25,1938,3269,5923,1,0,0,0,0,0,0,0,1,0,0,0,2017-05-26,17.7,0.0,2.9,41.5,1.9,0.0,0.0,0.0,0.0,1,5,3,1
60,26602,7193,33795,398,16007,13760,320,1927,147,821,4280,20287,10595,9815,229,551,251,493,2913,13508,0,0,0,0,0,1,0,0,1,0,0,0,2017-05-27,19.5,0.0,2.2,46.1,0.1,0.0,0.0,0.0,0.0,1,5,3,1
61,28606,10589,39195,519,16351,13998,431,1922,275,286,4938,21289,12255,11348,244,663,244,4246,5651,17906,0,0,0,0,1,0,0,0,1,0,0,0,2017-05-28,21.2,0.0,2.7,50.6,1.0,0.0,0.0,0.0,0.0,1,5,3,1
62,4129,3138,7267,232,1800,1692,26,82,68,299,1315,3115,2329,2274,14,41,164,65,1823,4152,0,0,0,1,0,0,0,0,1,0,0,0,2017-05-29,22.9,0.0,2.3,61.8,4.6,0.0,0.0,0.0,0.0,2,6,5,1
63,4837,3988,8825,68,1959,1548,318,93,5,564,1622,3581,2878,2822,26,30,63,880,2366,5244,0,0,0,0,0,0,1,0,1,0,0,0,2017-05-30,23.6,0.0,2.4,43.5,6.0,0.0,0.0,0.0,0.0,3,6,3,1
64,3635,3201,6836,199,1724,1269,409,46,72,492,1111,2835,1911,1876,9,26,127,393,2090,4001,0,0,1,0,0,0,0,0,1,0,0,0,2017-05-31,23.3,0.0,1.9,49.1,5.4,0.0,0.0,0.0,0.0,2,6,3,1
65,4851,4339,9190,92,2838,1140,158,1540,70,1764,1715,4553,2013,1954,13,46,22,692,2624,4637,0,1,0,0,0,0,0,0,0,1,0,0,2017-06-01,23.3,0.0,3.1,51.8,4.3,0.0,0.0,0.0,0.0,2,6,3,2
66,6839,4076,10915,140,3722,1831,1686,205,58,2236,1807,5529,3117,2688,282,147,82,913,2269,5386,1,0,0,0,0,0,0,0,0,1,0,0,2017-06-02,20.5,0.0,2.8,37.4,3.1,0.92,0.0,0.0,0.0,2,5,2,1
67,23443,9796,33239,310,13349,11642,335,1372,145,392,5017,18366,10094,9347,198,549,165,80,4779,14873,0,0,0,0,0,1,0,0,0,1,0,0,2017-06-03,20.5,0.0,3.0,44.0,1.9,0.0,0.0,0.0,0.0,1,5,3,2
68,25815,10475,36290,469,14862,12765,399,1698,129,31,4790,19652,10953,9852,300,801,340,30,5685,16638,0,0,0,0,1,0,0,0,0,1,0,0,2017-06-04,21.7,0.0,2.6,36.9,1.8,0.0,0.0,0.0,0.0,1,5,2,1
69,14277,4315,18592,161,9769,7352,1522,895,66,3964,2285,12054,4508,4039,141,328,95,209,2030,6538,0,0,0,1,0,0,0,0,0,1,0,0,2017-06-05,24.2,0.0,1.9,33.3,4.9,0.5,0.0,0.0,0.0,2,6,2,1
70,15290,7312,22602,154,9329,7686,360,1283,90,123,3923,13252,5961,5202,222,537,64,172,3389,9350,0,0,0,0,0,0,1,0,0,1,0,0,2017-06-06,19.4,15.5,2.5,60.0,9.8,10.75,3.0,8.5,15.5,4,5,5,1
71,978,893,1871,28,583,284,291,8,15,328,490,1073,395,339,53,3,13,65,403,798,0,0,1,0,0,0,0,0,0,1,0,0,2017-06-07,17.6,12.5,2.4,91.4,8.8,14.58,2.0,4.0,12.5,3,5,5,1
72,20092,3289,23381,146,18649,1176,17336,137,52,17695,1384,20033,1443,1421,9,13,94,725,1905,3348,0,1,0,0,0,0,0,0,0,1,0,0,2017-06-08,20.1,0.0,2.8,67.3,3.9,0.0,0.0,0.0,0.0,2,5,5,1
